# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1715185189131000000,1715185249140000000,183
cacheStateStorage.get.counter,1715185189131000000,1715185249140000000,22
cacheStateStorage.set.counter,1715185189131000000,1715185249140000000,3
cacheStateStorage.set.duration,1715185189131000000,1715185249140000000,6
workspaceModel.workspaceFileIndexData.getPackageName.ms,1715185189131000000,1715185249140000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1715185189131000000,1715185249140000000,0
workspaceModel.loading.total.ms,1715185189131000000,1715185249140000000,158
workspaceModel.update.unloaded.entities.ms,1715185189131000000,1715185249140000000,0
workspaceModel.full.replace.project.model.ms,1715185189131000000,1715185249140000000,4
workspaceModel.updates.precise.ms,1715185189131000000,1715185249140000000,11
workspaceModel.workspaceFileIndexData.processFileSets.ms,1715185189131000000,1715185249140000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1715185189131000000,1715185249140000000,0
workspaceModel.pre.handlers.ms,1715185189131000000,1715185249140000000,1
workspaceModel.updates.count,1715185189131000000,1715185249140000000,6
workspaceModel.cachedValue.from.cache.ms,1715185189131000000,1715185249140000000,0
workspaceModel.init.bridges.ms,1715185189131000000,1715185249140000000,1
workspaceModel.to.snapshot.ms,1715185189131000000,1715185249140000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1715185189131000000,1715185249140000000,0
workspaceModel.collect.changes.ms,1715185189131000000,1715185249140000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1715185189131000000,1715185249140000000,22
workspaceModel.workspaceFileIndexData.instances.count,1715185189131000000,1715185249140000000,1
workspaceModel.check.recursive.update.ms,1715185189131000000,1715185249140000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1715185189131000000,1715185249140000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1715185189131000000,1715185249140000000,0
workspaceModel.loading.from.cache.ms,1715185189131000000,1715185249140000000,149
workspaceModel.cachedValueWithParameters.total.get.ms,1715185189131000000,1715185249140000000,0
workspaceModel.cachedValue.calculated.ms,1715185189131000000,1715185249140000000,7
