# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.collect.changes.ms,1715088712911000000,1715088772917000000,0
workspaceModel.updates.count,1715088712911000000,1715088772917000000,10
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1715088712911000000,1715088772917000000,28
workspaceModel.pre.handlers.ms,1715088712911000000,1715088772917000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1715088712911000000,1715088772917000000,4
workspaceModel.update.unloaded.entities.ms,1715088712911000000,1715088772917000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1715088712911000000,1715088772917000000,268
workspaceModel.workspaceFileIndexData.instances.count,1715088712911000000,1715088772917000000,2
workspaceModel.replace.project.model.ms,1715088712911000000,1715088772917000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1715088712911000000,1715088772917000000,38
workspaceModel.cachedValueWithParameters.total.get.ms,1715088712911000000,1715088772917000000,0
workspaceModel.workspaceFileIndexData.init.ms,1715088712911000000,1715088772917000000,151
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1715088712911000000,1715088772917000000,913
workspaceModel.workspaceFileIndexData.markDirty.ms,1715088712911000000,1715088772917000000,0
workspaceModel.full.replace.project.model.ms,1715088712911000000,1715088772917000000,28
workspaceModel.loading.total.ms,1715088712911000000,1715088772917000000,196
workspaceModel.workspaceFileIndexData.processFileSets.ms,1715088712911000000,1715088772917000000,0
workspaceModel.cachedValue.from.cache.ms,1715088712911000000,1715088772917000000,4
workspaceModel.cachedValue.total.get.ms,1715088712911000000,1715088772917000000,18
workspaceModel.cachedValueWithParameters.clear.ms,1715088712911000000,1715088772917000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1715088712911000000,1715088772917000000,0
workspaceModel.updates.ms,1715088712911000000,1715088772917000000,58
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1715088712911000000,1715088772917000000,3
workspaceModel.cachedValue.clear.ms,1715088712911000000,1715088772917000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1715088712911000000,1715088772917000000,24
workspaceModel.initializing.ms,1715088712911000000,1715088772917000000,2
workspaceModel.cachedValueWithParameters.from.cache.ms,1715088712911000000,1715088772917000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1715088712911000000,1715088772917000000,0
workspaceModel.init.bridges.ms,1715088712911000000,1715088772917000000,2
workspaceModel.to.snapshot.ms,1715088712911000000,1715088772917000000,0
workspaceModel.loading.from.cache.ms,1715088712911000000,1715088772917000000,185
workspaceModel.updates.precise.ms,1715088712911000000,1715088772917000000,17
workspaceModel.cachedValue.calculated.ms,1715088712911000000,1715088772917000000,14
workspaceModel.check.recursive.update.ms,1715088712911000000,1715088772917000000,2
FileNameCache.queries,1715088712911000000,1715088772917000000,0
VFS.fileChildByName,1715088712911000000,1715088772917000000,23221
VFS.invertedFileNameIndex.requests,1715088712911000000,1715088772917000000,20
VFS.fileByIdCache.hits,1715088712911000000,1715088772917000000,2
VFS.fileByIdCache.misses,1715088712911000000,1715088772917000000,27622
FileNameCache.totalMisses,1715088712911000000,1715088772917000000,0
JVM.totalBytesAllocated,1715088712911000000,1715088772917000000,3276267784
JVM.GC.collections,1715088712911000000,1715088772917000000,27
