# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1715137196105000000,1715137256116000000,271
FilePageCacheLockFree.housekeeperTurnsDone,1715137196105000000,1715137256116000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1715137196105000000,1715137256116000000,3790
FilePageCacheLockFree.nativeBytesInUse,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.heapBytesInUse,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1715137196105000000,1715137256116000000,0
FilePageCache.uncachedFileAccess,1715137196105000000,1715137256116000000,147
FilePageCacheLockFree.totalBytesRead,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalPagesHandedOver,1715137196105000000,1715137256116000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1715137196105000000,1715137256116000000,0
FilePageCache.pageFastCacheHits,1715137196105000000,1715137256116000000,6956
FilePageCache.maxCacheSizeInBytes,1715137196105000000,1715137256116000000,280002560
FilePageCacheLockFree.totalPagesReadMs,1715137196105000000,1715137256116000000,0
FilePageCache.pageHits,1715137196105000000,1715137256116000000,3
StreamlinedBlobStorage.recordsDeleted,1715137196105000000,1715137256116000000,74
StorageLockContext.competingThreads.avg,1715137196105000000,1715137256116000000,0.07563025210084033
FilePageCacheLockFree.housekeeperTurnsSkipped,1715137196105000000,1715137256116000000,0
MappedFileStorage.storages,1715137196105000000,1715137256116000000,16
MappedFileStorage.totalPagesMapped,1715137196105000000,1715137256116000000,16
MappedFileStorage.totalBytesMapped,1715137196105000000,1715137256116000000,202637312
FilePageCache.maxRegisteredFiles,1715137196105000000,1715137256116000000,561
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1715137196105000000,1715137256116000000,5757790
FileChannelInterruptsRetryer.totalRetriedAttempts,1715137196105000000,1715137256116000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1715137196105000000,1715137256116000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1715137196105000000,1715137256116000000,280002560
FilePageCacheLockFree.totalHeapBytesReclaimed,1715137196105000000,1715137256116000000,0
StorageLockContext.competingThreads.90P,1715137196105000000,1715137256116000000,0
lexer.XML.size.bytes,1715137196105000000,1715137256116000000,1303
parser.XML.size.bytes,1715137196105000000,1715137256116000000,1303
writeAction.wait.ms,1715137196105000000,1715137256116000000,17
parser.JAVA.size.bytes,1715137196105000000,1715137256116000000,2386
lexer.JAVA.size.bytes,1715137196105000000,1715137256116000000,2386
writeAction.count,1715137196105000000,1715137256116000000,12
lexer.XML.time.ns,1715137196105000000,1715137256116000000,2122455
writeAction.max.wait.ms,1715137196105000000,1715137256116000000,16
writeAction.median.wait.ms,1715137196105000000,1715137256116000000,0
parser.XML.time.ns,1715137196105000000,1715137256116000000,8821499
parser.JAVA.time.ns,1715137196105000000,1715137256116000000,133688258
lexer.JAVA.time.ns,1715137196105000000,1715137256116000000,12096078
FileNameCache.queries,1715137196105000000,1715137256116000000,0
VFS.fileByIdCache.hits,1715137196105000000,1715137256116000000,0
VFS.invertedFileNameIndex.requests,1715137196105000000,1715137256116000000,12
VFS.fileChildByName,1715137196105000000,1715137256116000000,5428
VFS.fileByIdCache.misses,1715137196105000000,1715137256116000000,516
FileNameCache.totalMisses,1715137196105000000,1715137256116000000,0
FlushQueue.executionTime90PNs,1715137196105000000,1715137256116000000,511999
FlushQueue.queueSizeMax,1715137196105000000,1715137256116000000,102
