# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1715017230318000000,1715017290324000000,0
VFS.invertedFileNameIndex.requests,1715017230318000000,1715017290324000000,8
VFS.fileByIdCache.misses,1715017230318000000,1715017290324000000,337
VFS.fileChildByName,1715017230318000000,1715017290324000000,7495
FileNameCache.queries,1715017230318000000,1715017290324000000,0
FileNameCache.totalMisses,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715017230318000000,1715017290324000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.commit.ms,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1715017230318000000,1715017290324000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1715017230318000000,1715017290324000000,0
Indexes.entries.lookupDurationAvgMs,1715017230318000000,1715017290324000000,2.272727272727273
Indexes.entries.lookupDuration90PMs,1715017230318000000,1715017290324000000,8.0
IndexesFlusher.totalFlushesRetried,1715017230318000000,1715017290324000000,0
Indexes.allKeys.lookups,1715017230318000000,1715017290324000000,0.0
Indexes.stubs.lookups,1715017230318000000,1715017290324000000,410.0
Indexes.entries.lookups,1715017230318000000,1715017290324000000,33.0
Indexes.allKeys.lookupDurationMaxMs,1715017230318000000,1715017290324000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1715017230318000000,1715017290324000000,0.0
IndexesFlusher.totalFlushingTimeUs,1715017230318000000,1715017290324000000,147107
Indexes.stubs.lookupDuration90PMs,1715017230318000000,1715017290324000000,3.0
IndexesFlusher.totalFlushes,1715017230318000000,1715017290324000000,59
Indexes.stubs.lookupDurationMaxMs,1715017230318000000,1715017290324000000,119.0
IndexesFlusher.totalContentionQuotaSpent,1715017230318000000,1715017290324000000,0
Indexes.entries.lookupDurationMaxMs,1715017230318000000,1715017290324000000,25.0
Indexes.stubs.lookupDurationAvgMs,1715017230318000000,1715017290324000000,2.0097560975609756
Indexes.allKeys.lookupDuration90PMs,1715017230318000000,1715017290324000000,0.0
