# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.findArtifact.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1715101881915000000,1715101941922000000,1
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715101881915000000,1715101941922000000,1
compiler.ArtifactManagerBridge.initBridges.ms,1715101881915000000,1715101941922000000,0
compiler.ArtifactManagerBridge.commit.ms,1715101881915000000,1715101941922000000,0
NonBlockingReadAction.failedExecutionsCount,1715101881915000000,1715101941922000000,2
NonBlockingReadAction.finalizedExecutionsCount,1715101881915000000,1715101941922000000,223
FlushQueue.waitingTimeMaxNs,1715101881915000000,1715101941922000000,729808895
NonBlockingReadAction.finalizedExecutionTimeUs,1715101881915000000,1715101941922000000,2965609
AWTEventQueue.dispatchTimeMaxNs,1715101881915000000,1715101941922000000,299892735
FlushQueue.executionTimeAvgNs,1715101881915000000,1715101941922000000,356076.5339434276
FlushQueue.tasksExecuted,1715101881915000000,1715101941922000000,12020
FlushQueue.executionTime90PNs,1715101881915000000,1715101941922000000,176127
FlushQueue.executionTimeMaxNs,1715101881915000000,1715101941922000000,299892735
FlushQueue.waitingTime90PNs,1715101881915000000,1715101941922000000,29360127
WriteAction.executionsCount,1715101881915000000,1715101941922000000,21
FlushQueue.queueSizeAvg,1715101881915000000,1715101941922000000,10.633860232945091
NonBlockingReadAction.failedExecutionTimeUs,1715101881915000000,1715101941922000000,71957
FlushQueue.queueSize90P,1715101881915000000,1715101941922000000,32
AWTEventQueue.eventsDispatched,1715101881915000000,1715101941922000000,10705
ReadAction.executionsCount,1715101881915000000,1715101941922000000,422715
AWTEventQueue.dispatchTimeTotalNS,1715101881915000000,1715101941922000000,9686534269
AWTEventQueue.dispatchTime90PNs,1715101881915000000,1715101941922000000,1089535
FlushQueue.waitingTimeAvgNs,1715101881915000000,1715101941922000000,1.1906670942429284E7
AWTEventQueue.dispatchTimeAvgNs,1715101881915000000,1715101941922000000,904551.9753386268
FlushQueue.queueSizeMax,1715101881915000000,1715101941922000000,107
lexer.JAVA.size.bytes,1715101881915000000,1715101941922000000,17972
writeAction.max.wait.ms,1715101881915000000,1715101941922000000,6
parser.XML.time.ns,1715101881915000000,1715101941922000000,25274574
parser.JAVA.time.ns,1715101881915000000,1715101941922000000,245259654
lexer.JAVA.time.ns,1715101881915000000,1715101941922000000,18718693
lexer.XML.size.bytes,1715101881915000000,1715101941922000000,8173
lexer.XML.time.ns,1715101881915000000,1715101941922000000,8465513
parser.JAVA.size.bytes,1715101881915000000,1715101941922000000,17972
writeAction.median.wait.ms,1715101881915000000,1715101941922000000,0
writeAction.wait.ms,1715101881915000000,1715101941922000000,7
writeAction.count,1715101881915000000,1715101941922000000,21
parser.XML.size.bytes,1715101881915000000,1715101941922000000,8173
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1715101881915000000,1715101941922000000,5734105
MappedFileStorage.totalBytesMapped,1715101881915000000,1715101941922000000,202637312
FilePageCacheLockFree.totalBytesWritten,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1715101881915000000,1715101941922000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1715101881915000000,1715101941922000000,292839424
FilePageCache.maxCacheSizeInBytes,1715101881915000000,1715101941922000000,292839424
FileChannelInterruptsRetryer.totalRetriedAttempts,1715101881915000000,1715101941922000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1715101881915000000,1715101941922000000,3148
StorageLockContext.competingThreads.avg,1715101881915000000,1715101941922000000,0.05042016806722689
FilePageCacheLockFree.totalBytesRead,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.heapBytesInUse,1715101881915000000,1715101941922000000,0
MappedFileStorage.storages,1715101881915000000,1715101941922000000,16
FilePageCacheLockFree.totalPagesHandedOver,1715101881915000000,1715101941922000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1715101881915000000,1715101941922000000,0
FilePageCache.pageHits,1715101881915000000,1715101941922000000,45
FilePageCacheLockFree.nativeBytesInUse,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1715101881915000000,1715101941922000000,0
MappedFileStorage.totalPagesMapped,1715101881915000000,1715101941922000000,16
FilePageCache.totalPageDisposalsUs,1715101881915000000,1715101941922000000,1114
DirectByteBufferAllocator.disposed,1715101881915000000,1715101941922000000,0
DirectByteBufferAllocator.reclaimed,1715101881915000000,1715101941922000000,3
FilePageCache.pageLoads,1715101881915000000,1715101941922000000,317
FilePageCacheLockFree.totalPagesReadMs,1715101881915000000,1715101941922000000,0
DirectByteBufferAllocator.misses,1715101881915000000,1715101941922000000,314
FilePageCache.disposedBuffers,1715101881915000000,1715101941922000000,3
FilePageCacheLockFree.totalBytesRequested,1715101881915000000,1715101941922000000,0
FilePageCache.uncachedFileAccess,1715101881915000000,1715101941922000000,231
FilePageCacheLockFree.housekeeperTurnsDone,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalPagesReclaimed,1715101881915000000,1715101941922000000,0
FilePageCache.totalPageLoadsUs,1715101881915000000,1715101941922000000,383720
StreamlinedBlobStorage.recordsAllocated,1715101881915000000,1715101941922000000,130147
FilePageCacheLockFree.totalPagesWriteMs,1715101881915000000,1715101941922000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1715101881915000000,1715101941922000000,14377230
FilePageCache.pageLoadsAboveSizeThreshold,1715101881915000000,1715101941922000000,0
FilePageCache.pageFastCacheHits,1715101881915000000,1715101941922000000,8269
StreamlinedBlobStorage.recordsDeleted,1715101881915000000,1715101941922000000,73
FilePageCacheLockFree.totalPageAllocationsWaited,1715101881915000000,1715101941922000000,0
StorageLockContext.competingThreads.90P,1715101881915000000,1715101941922000000,0
FilePageCache.capacityInBytes,1715101881915000000,1715101941922000000,503316478
StreamlinedBlobStorage.recordsRelocated,1715101881915000000,1715101941922000000,0
DirectByteBufferAllocator.hits,1715101881915000000,1715101941922000000,3
FilePageCacheLockFree.totalPagesAllocated,1715101881915000000,1715101941922000000,0
FilePageCache.maxRegisteredFiles,1715101881915000000,1715101941922000000,561
FilePageCacheLockFree.totalPagesWritten,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1715101881915000000,1715101941922000000,0
FilePageCacheLockFree.totalPagesRequested,1715101881915000000,1715101941922000000,0
StorageLockContext.competingThreads.max,1715101881915000000,1715101941922000000,6
FileNameCache.totalMisses,1715101881915000000,1715101941922000000,544064
FileNameCache.queries,1715101881915000000,1715101941922000000,25167104
VFS.fileByIdCache.misses,1715101881915000000,1715101941922000000,25092
VFS.fileByIdCache.hits,1715101881915000000,1715101941922000000,6
VFS.invertedFileNameIndex.requests,1715101881915000000,1715101941922000000,10
VFS.fileChildByName,1715101881915000000,1715101941922000000,20087
