# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.getArtifacts.ms,1715195601643000000,1715195662105000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1715195601643000000,1715195662105000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715195601643000000,1715195662105000000,2
compiler.ArtifactManagerBridge.initBridges.ms,1715195601643000000,1715195662105000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1715195601643000000,1715195662105000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715195601643000000,1715195662105000000,0
compiler.ArtifactManagerBridge.commit.ms,1715195601643000000,1715195662105000000,0
workspaceModel.load.cache.metadata.from.file.ms,1715195601643000000,1715195662105000000,17
workspaceModel.moduleBridgeLoader.loading.modules.ms,1715195601643000000,1715195662105000000,484
workspaceModel.mutableEntityStorage.entities.ms,1715195601643000000,1715195662105000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1715195601643000000,1715195662105000000,0
workspaceModel.moduleBridge.update.option.ms,1715195601643000000,1715195662105000000,0
jps.app.storage.content.writer.save.component.ms,1715195601643000000,1715195662105000000,8
jps.global.get.library.ms,1715195601643000000,1715195662105000000,0
jps.save.global.entities.ms,1715195601643000000,1715195662105000000,36
jps.module.iml.entities.serializer.load.entities.ms,1715195601643000000,1715195662105000000,14
workspaceModel.global.apply.state.to.project.builder.ms,1715195601643000000,1715195662105000000,5
jps.app.storage.content.reader.load.component.ms,1715195601643000000,1715195662105000000,13
workspaceModel.global.apply.state.to.project.ms,1715195601643000000,1715195662105000000,21
workspaceModel.mutableEntityStorage.collect.changes.ms,1715195601643000000,1715195662105000000,1
jps.apply.loaded.storage.ms,1715195601643000000,1715195662105000000,19
jps.library.entities.serializer.load.entities.ms,1715195601643000000,1715195662105000000,11
workspaceModel.mutableEntityStorage.referrers.ms,1715195601643000000,1715195662105000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1715195601643000000,1715195662105000000,0
