# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.updates.ms,1715095955475000000,1715096015503000000,4
jps.project.serializers.load.ms,1715095955475000000,1715096015503000000,23
jps.facet.change.listener.before.change.events.ms,1715095955475000000,1715096015503000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1715095955475000000,1715096015503000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1715095955475000000,1715096015503000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1715095955475000000,1715096015503000000,13
workspaceModel.mutableEntityStorage.entities.ms,1715095955475000000,1715096015503000000,0
jps.modifiable.module.model.bridge.new.module.ms,1715095955475000000,1715096015503000000,5
workspaceModel.moduleManagerBridge.load.all.modules.ms,1715095955475000000,1715096015503000000,77
jps.load.initial.state.ms,1715095955475000000,1715096015503000000,9
jps.modifiable.module.model.bridge.disposing.ms,1715095955475000000,1715096015503000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1715095955475000000,1715096015503000000,7
workspaceModel.orphan.listener.update.ms,1715095955475000000,1715096015503000000,8
workspaceModel.moduleManagerBridge.newModule.ms,1715095955475000000,1715096015503000000,18
workspaceModel.mutableEntityStorage.modify.entity.ms,1715095955475000000,1715096015503000000,3
jps.modifiable.module.model.bridge.renaming.ms,1715095955475000000,1715096015503000000,0
jps.global.get.libraries.ms,1715095955475000000,1715096015503000000,0
jps.artifact.entities.serializer.load.entities.ms,1715095955475000000,1715096015503000000,8
workspaceModel.mutableEntityStorage.referrers.ms,1715095955475000000,1715096015503000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1715095955475000000,1715096015503000000,44
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1715095955475000000,1715096015503000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1715095955475000000,1715096015503000000,1
jps.module.iml.entities.serializer.save.entities.ms,1715095955475000000,1715096015503000000,29
workspaceModel.mutableEntityStorage.collect.changes.ms,1715095955475000000,1715096015503000000,3
jps.storage.jps.conf.reader.load.component.ms,1715095955475000000,1715096015503000000,7
jps.library.entities.serializer.save.entities.ms,1715095955475000000,1715096015503000000,4
workspaceModel.mutableEntityStorage.remove.entity.ms,1715095955475000000,1715096015503000000,1
workspaceModel.mutableEntityStorage.instances.count,1715095955475000000,1715096015503000000,75
jps.app.storage.content.writer.save.component.ms,1715095955475000000,1715096015503000000,3
workspaceModel.global.updates.count,1715095955475000000,1715096015503000000,2
workspaceModel.do.save.caches.ms,1715095955475000000,1715096015503000000,109
workspaceModel.mutableEntityStorage.resolve.ms,1715095955475000000,1715096015503000000,1
workspaceModel.moduleBridge.before.changed.ms,1715095955475000000,1715096015503000000,1
jps.save.global.entities.ms,1715095955475000000,1715096015503000000,14
workspaceModel.mutableEntityStorage.replace.by.source.ms,1715095955475000000,1715096015503000000,25
jps.global.initialize.library.bridges.after.loading.ms,1715095955475000000,1715096015503000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1715095955475000000,1715096015503000000,72
jps.global.get.library.by.name.ms,1715095955475000000,1715096015503000000,0
workspaceModel.sync.entities.ms,1715095955475000000,1715096015503000000,3
jps.save.changed.project.entities.ms,1715095955475000000,1715096015503000000,38
jps.app.storage.content.reader.load.component.ms,1715095955475000000,1715096015503000000,4
workspaceModel.moduleBridge.update.option.ms,1715095955475000000,1715096015503000000,0
jps.reload.project.entities.ms,1715095955475000000,1715096015503000000,0
jps.load.project.to.empty.storage.ms,1715095955475000000,1715096015503000000,63
workspaceModel.global.apply.state.to.project.builder.ms,1715095955475000000,1715096015503000000,10
workspaceModel.mutableEntityStorage.to.snapshot.ms,1715095955475000000,1715096015503000000,3
jps.global.get.library.ms,1715095955475000000,1715096015503000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1715095955475000000,1715096015503000000,0
workspaceModel.load.cache.metadata.from.file.ms,1715095955475000000,1715096015503000000,14
jps.apply.loaded.storage.ms,1715095955475000000,1715096015503000000,32
jps.facet.change.listener.process.change.events.ms,1715095955475000000,1715096015503000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1715095955475000000,1715096015503000000,0
jps.module.iml.entities.serializer.load.entities.ms,1715095955475000000,1715096015503000000,14
jps.project.serializers.save.ms,1715095955475000000,1715096015503000000,38
workspaceModel.load.cache.from.file.ms,1715095955475000000,1715096015503000000,160
jps.global.handle.before.change.events.ms,1715095955475000000,1715096015503000000,0
jps.global.initialize.library.bridges.ms,1715095955475000000,1715096015503000000,0
jps.modifiable.module.model.bridge.load.module.ms,1715095955475000000,1715096015503000000,0
