# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1715101968776000000,1715102028800000000,188
cacheStateStorage.set.counter,1715101968776000000,1715102028800000000,3
cacheStateStorage.get.counter,1715101968776000000,1715102028800000000,28
cacheStateStorage.set.duration,1715101968776000000,1715102028800000000,7
workspaceModel.cachedValueWithParameters.from.cache.ms,1715101968776000000,1715102028800000000,0
workspaceModel.updates.ms,1715101968776000000,1715102028800000000,39
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1715101968776000000,1715102028800000000,0
workspaceModel.collect.changes.ms,1715101968776000000,1715102028800000000,0
workspaceModel.updates.precise.ms,1715101968776000000,1715102028800000000,8
workspaceModel.updates.count,1715101968776000000,1715102028800000000,5
workspaceModel.workspaceFileIndexData.markDirty.ms,1715101968776000000,1715102028800000000,0
workspaceModel.initializing.ms,1715101968776000000,1715102028800000000,1
workspaceModel.to.snapshot.ms,1715101968776000000,1715102028800000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1715101968776000000,1715102028800000000,25
workspaceModel.init.bridges.ms,1715101968776000000,1715102028800000000,1
workspaceModel.loading.from.cache.ms,1715101968776000000,1715102028800000000,165
workspaceModel.check.recursive.update.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValue.from.cache.ms,1715101968776000000,1715102028800000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1715101968776000000,1715102028800000000,0
workspaceModel.loading.total.ms,1715101968776000000,1715102028800000000,175
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1715101968776000000,1715102028800000000,205
workspaceModel.workspaceFileIndexData.instances.count,1715101968776000000,1715102028800000000,1
workspaceModel.full.replace.project.model.ms,1715101968776000000,1715102028800000000,4
workspaceModel.update.unloaded.entities.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValue.total.get.ms,1715101968776000000,1715102028800000000,16
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1715101968776000000,1715102028800000000,304
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValue.calculated.ms,1715101968776000000,1715102028800000000,15
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1715101968776000000,1715102028800000000,52
workspaceModel.cachedValueWithParameters.calculated.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValue.clear.ms,1715101968776000000,1715102028800000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1715101968776000000,1715102028800000000,0
workspaceModel.replace.project.model.ms,1715101968776000000,1715102028800000000,0
workspaceModel.pre.handlers.ms,1715101968776000000,1715102028800000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1715101968776000000,1715102028800000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1715101968776000000,1715102028800000000,10
workspaceModel.workspaceFileIndexData.init.ms,1715101968776000000,1715102028800000000,118
JVM.usedNativeBytes,1715101968776000000,1715102028800000000,415135496
JVM.threadCount,1715101968776000000,1715102028800000000,140
JVM.totalBytesAllocated,1715101968776000000,1715102028800000000,2000700808
JVM.maxThreadCount,1715101968776000000,1715102028800000000,143
JVM.newThreadsCount,1715101968776000000,1715102028800000000,150
JVM.totalDirectByteBuffersBytes,1715101968776000000,1715102028800000000,297631962
OS.loadAverage,1715101968776000000,1715102028800000000,1.97021484375
JVM.maxHeapBytes,1715101968776000000,1715102028800000000,2147483648
JVM.GC.collections,1715101968776000000,1715102028800000000,27
JVM.totalCpuTimeMs,1715101968776000000,1715102028800000000,78960
JVM.usedHeapBytes,1715101968776000000,1715102028800000000,456130560
JVM.GC.collectionTimesMs,1715101968776000000,1715102028800000000,205
VFS.invertedFileNameIndex.requests,1715101968776000000,1715102028800000000,4
VFS.fileByIdCache.hits,1715101968776000000,1715102028800000000,0
FileNameCache.totalMisses,1715101968776000000,1715102028800000000,0
VFS.fileByIdCache.misses,1715101968776000000,1715102028800000000,2704
VFS.fileChildByName,1715101968776000000,1715102028800000000,10664
FileNameCache.queries,1715101968776000000,1715102028800000000,0
lexer.JAVA.time.ns,1715101968776000000,1715102028800000000,17275910
parser.XML.size.bytes,1715101968776000000,1715102028800000000,8173
lexer.XML.size.bytes,1715101968776000000,1715102028800000000,8173
parser.JAVA.time.ns,1715101968776000000,1715102028800000000,218909030
writeAction.max.wait.ms,1715101968776000000,1715102028800000000,2
parser.XML.time.ns,1715101968776000000,1715102028800000000,33168176
lexer.XML.time.ns,1715101968776000000,1715102028800000000,9691663
writeAction.median.wait.ms,1715101968776000000,1715102028800000000,0
lexer.JAVA.size.bytes,1715101968776000000,1715102028800000000,26302
writeAction.count,1715101968776000000,1715102028800000000,15
writeAction.wait.ms,1715101968776000000,1715102028800000000,3
parser.JAVA.size.bytes,1715101968776000000,1715102028800000000,26302
IndexesFlusher.totalContentionQuotaSpent,1715101968776000000,1715102028800000000,0
Indexes.entries.lookupDurationAvgMs,1715101968776000000,1715102028800000000,0.0
IndexesFlusher.totalFlushesRetried,1715101968776000000,1715102028800000000,0
Indexes.allKeys.lookups,1715101968776000000,1715102028800000000,0.0
Indexes.stubs.lookupDurationMaxMs,1715101968776000000,1715102028800000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1715101968776000000,1715102028800000000,0.0
Indexes.stubs.lookups,1715101968776000000,1715102028800000000,0.0
Indexes.entries.lookups,1715101968776000000,1715102028800000000,0.0
Indexes.entries.lookupDuration90PMs,1715101968776000000,1715102028800000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1715101968776000000,1715102028800000000,0.0
Indexes.stubs.lookupDurationAvgMs,1715101968776000000,1715102028800000000,0.0
Indexes.stubs.lookupDuration90PMs,1715101968776000000,1715102028800000000,0.0
Indexes.entries.lookupDurationMaxMs,1715101968776000000,1715102028800000000,0.0
IndexesFlusher.totalFlushes,1715101968776000000,1715102028800000000,59
IndexesFlusher.totalFlushingTimeUs,1715101968776000000,1715102028800000000,189248
Indexes.allKeys.lookupDuration90PMs,1715101968776000000,1715102028800000000,0.0
jps.module.iml.entities.serializer.save.entities.ms,1715101968776000000,1715102028800000000,0
jps.artifact.entities.serializer.save.entities.ms,1715101968776000000,1715102028800000000,0
jps.library.entities.serializer.save.entities.ms,1715101968776000000,1715102028800000000,0
jps.modifiable.module.model.bridge.load.module.ms,1715101968776000000,1715102028800000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1715101968776000000,1715102028800000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1715101968776000000,1715102028800000000,2
jps.modifiable.module.model.bridge.renaming.ms,1715101968776000000,1715102028800000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1715101968776000000,1715102028800000000,1
jps.app.storage.content.writer.save.component.ms,1715101968776000000,1715102028800000000,7
workspaceModel.do.save.caches.ms,1715101968776000000,1715102028800000000,89
workspaceModel.mutableEntityStorage.add.entity.ms,1715101968776000000,1715102028800000000,26
workspaceModel.mutableEntityStorage.has.same.entities.ms,1715101968776000000,1715102028800000000,0
workspaceModel.moduleBridge.before.changed.ms,1715101968776000000,1715102028800000000,0
jps.app.storage.content.reader.load.component.ms,1715101968776000000,1715102028800000000,0
jps.load.initial.state.ms,1715101968776000000,1715102028800000000,9
workspaceModel.moduleManagerBridge.load.module.ms,1715101968776000000,1715102028800000000,0
workspaceModel.sync.entities.ms,1715101968776000000,1715102028800000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1715101968776000000,1715102028800000000,6
jps.global.get.libraries.ms,1715101968776000000,1715102028800000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1715101968776000000,1715102028800000000,1
jps.storage.jps.conf.reader.load.component.ms,1715101968776000000,1715102028800000000,8
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1715101968776000000,1715102028800000000,0
jps.modifiable.module.model.bridge.disposing.ms,1715101968776000000,1715102028800000000,0
jps.module.iml.entities.serializer.load.entities.ms,1715101968776000000,1715102028800000000,16
jps.global.get.library.ms,1715101968776000000,1715102028800000000,0
jps.project.serializers.save.ms,1715101968776000000,1715102028800000000,1
workspaceModel.load.cache.from.file.ms,1715101968776000000,1715102028800000000,176
workspaceModel.moduleManagerBridge.load.all.modules.ms,1715101968776000000,1715102028800000000,87
workspaceModel.save.cache.to.file.ms,1715101968776000000,1715102028800000000,80
workspaceModel.mutableEntityStorage.resolve.ms,1715101968776000000,1715102028800000000,0
jps.facet.change.listener.init.bridge.ms,1715101968776000000,1715102028800000000,0
