# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.HTML.size.bytes,1715067478066000000,1715067538073000000,1308
writeAction.median.wait.ms,1715067478066000000,1715067538073000000,0
lexer.XML.size.bytes,1715067478066000000,1715067538073000000,1303
lexer.JAVA.time.ns,1715067478066000000,1715067538073000000,31724199
writeAction.wait.ms,1715067478066000000,1715067538073000000,15
parser.JAVA.size.bytes,1715067478066000000,1715067538073000000,20683
lexer.XML.time.ns,1715067478066000000,1715067538073000000,10512742
parser.JAVA.time.ns,1715067478066000000,1715067538073000000,187929585
writeAction.max.wait.ms,1715067478066000000,1715067538073000000,15
parser.XML.size.bytes,1715067478066000000,1715067538073000000,1303
parser.HTML.size.bytes,1715067478066000000,1715067538073000000,1308
writeAction.count,1715067478066000000,1715067538073000000,12
lexer.JAVA.size.bytes,1715067478066000000,1715067538073000000,20683
parser.XML.time.ns,1715067478066000000,1715067538073000000,18844031
parser.HTML.time.ns,1715067478066000000,1715067538073000000,3674397
lexer.HTML.time.ns,1715067478066000000,1715067538073000000,3371643
Indexes.entries.lookupDurationAvgMs,1715067478066000000,1715067538073000000,2.111111111111111
Indexes.entries.lookupDurationMaxMs,1715067478066000000,1715067538073000000,35.0
Indexes.stubs.lookups,1715067478066000000,1715067538073000000,439.0
Indexes.allKeys.lookupDurationAvgMs,1715067478066000000,1715067538073000000,0.0
Indexes.entries.lookups,1715067478066000000,1715067538073000000,45.0
Indexes.stubs.lookupDuration90PMs,1715067478066000000,1715067538073000000,2.0
Indexes.allKeys.lookupDurationMaxMs,1715067478066000000,1715067538073000000,0.0
IndexesFlusher.totalFlushingTimeUs,1715067478066000000,1715067538073000000,149440
IndexesFlusher.totalContentionQuotaSpent,1715067478066000000,1715067538073000000,0
Indexes.stubs.lookupDurationAvgMs,1715067478066000000,1715067538073000000,1.703872437357631
Indexes.allKeys.lookups,1715067478066000000,1715067538073000000,0.0
Indexes.stubs.lookupDurationMaxMs,1715067478066000000,1715067538073000000,120.0
IndexesFlusher.totalFlushesRetried,1715067478066000000,1715067538073000000,0
Indexes.allKeys.lookupDuration90PMs,1715067478066000000,1715067538073000000,0.0
Indexes.entries.lookupDuration90PMs,1715067478066000000,1715067538073000000,4.0
IndexesFlusher.totalFlushes,1715067478066000000,1715067538073000000,59
JVM.threadCount,1715067478066000000,1715067538073000000,146
JVM.totalBytesAllocated,1715067478066000000,1715067538073000000,1526436088
JVM.newThreadsCount,1715067478066000000,1715067538073000000,157
JVM.maxThreadCount,1715067478066000000,1715067538073000000,146
JVM.totalCpuTimeMs,1715067478066000000,1715067538073000000,56690
JVM.usedHeapBytes,1715067478066000000,1715067538073000000,296902144
JVM.GC.collectionTimesMs,1715067478066000000,1715067538073000000,191
OS.loadAverage,1715067478066000000,1715067538073000000,2.619140625
JVM.totalDirectByteBuffersBytes,1715067478066000000,1715067538073000000,286107280
JVM.maxHeapBytes,1715067478066000000,1715067538073000000,2147483648
JVM.usedNativeBytes,1715067478066000000,1715067538073000000,381716784
JVM.GC.collections,1715067478066000000,1715067538073000000,24
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactManagerBridge.commit.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1715067478066000000,1715067538073000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1715067478066000000,1715067538073000000,2
compiler.ArtifactManagerBridge.getArtifacts.ms,1715067478066000000,1715067538073000000,3
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715067478066000000,1715067538073000000,1
VFS.fileByIdCache.misses,1715067478066000000,1715067538073000000,434
VFS.invertedFileNameIndex.requests,1715067478066000000,1715067538073000000,8
VFS.fileChildByName,1715067478066000000,1715067538073000000,8716
VFS.fileByIdCache.hits,1715067478066000000,1715067538073000000,0
FileNameCache.totalMisses,1715067478066000000,1715067538073000000,0
FileNameCache.queries,1715067478066000000,1715067538073000000,0
workspaceModel.check.recursive.update.ms,1715067478066000000,1715067538073000000,1
workspaceModel.loading.from.cache.ms,1715067478066000000,1715067538073000000,180
workspaceModel.workspaceFileIndexData.markDirty.ms,1715067478066000000,1715067538073000000,0
workspaceModel.cachedValue.calculated.ms,1715067478066000000,1715067538073000000,13
workspaceModel.updates.precise.ms,1715067478066000000,1715067538073000000,13
workspaceModel.workspaceFileIndexData.init.ms,1715067478066000000,1715067538073000000,99
workspaceModel.replace.project.model.ms,1715067478066000000,1715067538073000000,0
workspaceModel.collect.changes.ms,1715067478066000000,1715067538073000000,0
workspaceModel.updates.ms,1715067478066000000,1715067538073000000,44
workspaceModel.cachedValue.clear.ms,1715067478066000000,1715067538073000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1715067478066000000,1715067538073000000,22
workspaceModel.cachedValueWithParameters.total.get.ms,1715067478066000000,1715067538073000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1715067478066000000,1715067538073000000,1
workspaceModel.cachedValueWithParameters.from.cache.ms,1715067478066000000,1715067538073000000,0
workspaceModel.to.snapshot.ms,1715067478066000000,1715067538073000000,0
workspaceModel.pre.handlers.ms,1715067478066000000,1715067538073000000,1
workspaceModel.loading.total.ms,1715067478066000000,1715067538073000000,188
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1715067478066000000,1715067538073000000,681
workspaceModel.workspaceFileIndexData.instances.count,1715067478066000000,1715067538073000000,1
workspaceModel.init.bridges.ms,1715067478066000000,1715067538073000000,1
workspaceModel.cachedValue.from.cache.ms,1715067478066000000,1715067538073000000,1
workspaceModel.cachedValueWithParameters.calculated.ms,1715067478066000000,1715067538073000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1715067478066000000,1715067538073000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1715067478066000000,1715067538073000000,0
