# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1715132122397000000,1715132182423000000,3
cacheStateStorage.get.duration,1715132122397000000,1715132182423000000,198
cacheStateStorage.get.counter,1715132122397000000,1715132182423000000,28
cacheStateStorage.set.duration,1715132122397000000,1715132182423000000,5
lexer.XML.time.ns,1715132122397000000,1715132182423000000,6390646
writeAction.wait.ms,1715132122397000000,1715132182423000000,6
lexer.JAVA.time.ns,1715132122397000000,1715132182423000000,14740873
parser.XML.time.ns,1715132122397000000,1715132182423000000,7394226
lexer.XML.size.bytes,1715132122397000000,1715132182423000000,1303
lexer.JAVA.size.bytes,1715132122397000000,1715132182423000000,2328
parser.JAVA.size.bytes,1715132122397000000,1715132182423000000,2328
writeAction.count,1715132122397000000,1715132182423000000,17
parser.JAVA.time.ns,1715132122397000000,1715132182423000000,238878154
parser.XML.size.bytes,1715132122397000000,1715132182423000000,1303
writeAction.max.wait.ms,1715132122397000000,1715132182423000000,3
writeAction.median.wait.ms,1715132122397000000,1715132182423000000,0
workspaceModel.workspaceFileIndexData.instances.count,1715132122397000000,1715132182423000000,1
workspaceModel.workspaceFileIndexData.init.ms,1715132122397000000,1715132182423000000,90
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1715132122397000000,1715132182423000000,336
workspaceModel.cachedValue.from.cache.ms,1715132122397000000,1715132182423000000,2
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1715132122397000000,1715132182423000000,149
workspaceModel.init.bridges.ms,1715132122397000000,1715132182423000000,1
workspaceModel.cachedValueWithParameters.from.cache.ms,1715132122397000000,1715132182423000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1715132122397000000,1715132182423000000,14
workspaceModel.entityStorageSnapshotImpl.instances.count,1715132122397000000,1715132182423000000,22
workspaceModel.to.snapshot.ms,1715132122397000000,1715132182423000000,0
workspaceModel.updates.count,1715132122397000000,1715132182423000000,5
workspaceModel.loading.total.ms,1715132122397000000,1715132182423000000,152
workspaceModel.collect.changes.ms,1715132122397000000,1715132182423000000,0
workspaceModel.full.replace.project.model.ms,1715132122397000000,1715132182423000000,4
workspaceModel.cachedValue.clear.ms,1715132122397000000,1715132182423000000,0
workspaceModel.cachedValue.calculated.ms,1715132122397000000,1715132182423000000,15
workspaceModel.updates.precise.ms,1715132122397000000,1715132182423000000,8
workspaceModel.pre.handlers.ms,1715132122397000000,1715132182423000000,1
workspaceModel.initializing.ms,1715132122397000000,1715132182423000000,1
workspaceModel.cachedValueWithParameters.total.get.ms,1715132122397000000,1715132182423000000,0
workspaceModel.cachedValue.total.get.ms,1715132122397000000,1715132182423000000,17
workspaceModel.loading.from.cache.ms,1715132122397000000,1715132182423000000,144
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1715132122397000000,1715132182423000000,15
workspaceModel.workspaceFileIndexData.markDirty.ms,1715132122397000000,1715132182423000000,0
workspaceModel.update.unloaded.entities.ms,1715132122397000000,1715132182423000000,0
workspaceModel.updates.ms,1715132122397000000,1715132182423000000,40
workspaceModel.cachedValueWithParameters.calculated.ms,1715132122397000000,1715132182423000000,0
