# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSizeAvg,1715126634370000000,1715126694942000000,0.0
FlushQueue.waitingTime90PNs,1715126634370000000,1715126694942000000,101887
FlushQueue.executionTimeMaxNs,1715126634370000000,1715126694942000000,82943
FlushQueue.executionTimeAvgNs,1715126634370000000,1715126694942000000,51744.0
NonBlockingReadAction.finalizedExecutionTimeUs,1715126634370000000,1715126694942000000,1186323
FlushQueue.waitingTimeMaxNs,1715126634370000000,1715126694942000000,101887
AWTEventQueue.dispatchTimeTotalNS,1715126634370000000,1715126694942000000,11450494699
FlushQueue.queueSize90P,1715126634370000000,1715126694942000000,0
NonBlockingReadAction.failedExecutionsCount,1715126634370000000,1715126694942000000,5
FlushQueue.executionTime90PNs,1715126634370000000,1715126694942000000,82943
WriteAction.executionsCount,1715126634370000000,1715126694942000000,100
AWTEventQueue.dispatchTimeAvgNs,1715126634370000000,1715126694942000000,141696.0
AWTEventQueue.eventsDispatched,1715126634370000000,1715126694942000000,2
NonBlockingReadAction.failedExecutionTimeUs,1715126634370000000,1715126694942000000,27625
NonBlockingReadAction.finalizedExecutionsCount,1715126634370000000,1715126694942000000,598
AWTEventQueue.dispatchTime90PNs,1715126634370000000,1715126694942000000,189439
FlushQueue.tasksExecuted,1715126634370000000,1715126694942000000,2
FlushQueue.waitingTimeAvgNs,1715126634370000000,1715126694942000000,76352.0
AWTEventQueue.dispatchTimeMaxNs,1715126634370000000,1715126694942000000,189439
ReadAction.executionsCount,1715126634370000000,1715126694942000000,301341
FlushQueue.queueSizeMax,1715126634370000000,1715126694942000000,0
cacheStateStorage.set.duration,1715126634370000000,1715126694942000000,9
cacheStateStorage.set.counter,1715126634370000000,1715126694942000000,3
cacheStateStorage.get.duration,1715126634370000000,1715126694942000000,223
cacheStateStorage.get.counter,1715126634370000000,1715126694942000000,28
sorting.items.3,1715126634370000000,1715126694942000000,137
sorting.items.0,1715126634370000000,1715126694942000000,353
sorting.time.8,1715126634370000000,1715126694942000000,8
sorting.time.7,1715126634370000000,1715126694942000000,1
sorting.items.6,1715126634370000000,1715126694942000000,85
sorting.items.8,1715126634370000000,1715126694942000000,47
model.items.8,1715126634370000000,1715126694942000000,47
model.items.6,1715126634370000000,1715126694942000000,85
model.time.0,1715126634370000000,1715126694942000000,44
sorting.time.3,1715126634370000000,1715126694942000000,16
sorting.time.2,1715126634370000000,1715126694942000000,2
sorting.time.6,1715126634370000000,1715126694942000000,15
sorting.time.10,1715126634370000000,1715126694942000000,3
sorting.time.5,1715126634370000000,1715126694942000000,1
reordered.by.ml,1715126634370000000,1715126694942000000,22
model.time.8,1715126634370000000,1715126694942000000,3
model.time.6,1715126634370000000,1715126694942000000,6
model.items.10,1715126634370000000,1715126694942000000,4
model.items.3,1715126634370000000,1715126694942000000,137
model.time.3,1715126634370000000,1715126694942000000,5
