# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1715162501262000000,1715162561268000000,301989887
FlushQueue.executionTimeAvgNs,1715162501262000000,1715162561268000000,598440.4201305393
NonBlockingReadAction.failedExecutionTimeUs,1715162501262000000,1715162561268000000,31834
FlushQueue.waitingTimeMaxNs,1715162501262000000,1715162561268000000,738197503
FlushQueue.tasksExecuted,1715162501262000000,1715162561268000000,5822
FlushQueue.queueSizeAvg,1715162501262000000,1715162561268000000,50.42803160425971
FlushQueue.queueSize90P,1715162501262000000,1715162561268000000,156
FlushQueue.executionTime90PNs,1715162501262000000,1715162561268000000,305151
NonBlockingReadAction.finalizedExecutionsCount,1715162501262000000,1715162561268000000,114
AWTEventQueue.eventsDispatched,1715162501262000000,1715162561268000000,3023
FlushQueue.waitingTime90PNs,1715162501262000000,1715162561268000000,146800639
FlushQueue.executionTimeMaxNs,1715162501262000000,1715162561268000000,297795583
WriteAction.executionsCount,1715162501262000000,1715162561268000000,20
FlushQueue.queueSizeMax,1715162501262000000,1715162561268000000,259
NonBlockingReadAction.failedExecutionsCount,1715162501262000000,1715162561268000000,2
ReadAction.executionsCount,1715162501262000000,1715162561268000000,139717
NonBlockingReadAction.finalizedExecutionTimeUs,1715162501262000000,1715162561268000000,767827
AWTEventQueue.dispatchTime90PNs,1715162501262000000,1715162561268000000,5505023
AWTEventQueue.dispatchTimeTotalNS,1715162501262000000,1715162561268000000,6437523468
AWTEventQueue.dispatchTimeAvgNs,1715162501262000000,1715162561268000000,2129504.0899768444
FlushQueue.waitingTimeAvgNs,1715162501262000000,1715162561268000000,5.113247715699072E7
compiler.ArtifactManagerBridge.findArtifact.ms,1715162501262000000,1715162561268000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1715162501262000000,1715162561268000000,6
compiler.ArtifactManagerBridge.addArtifact.ms,1715162501262000000,1715162561268000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1715162501262000000,1715162561268000000,1
compiler.ArtifactBridge.beforeChanged.ms,1715162501262000000,1715162561268000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1715162501262000000,1715162561268000000,0
compiler.ArtifactManagerBridge.commit.ms,1715162501262000000,1715162561268000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1715162501262000000,1715162561268000000,6
Indexes.stubs.lookupDurationAvgMs,1715162501262000000,1715162561268000000,1.4684684684684686
Indexes.entries.lookupDuration90PMs,1715162501262000000,1715162561268000000,10.0
IndexesFlusher.totalFlushingTimeUs,1715162501262000000,1715162561268000000,159728
Indexes.allKeys.lookupDurationMaxMs,1715162501262000000,1715162561268000000,0.0
Indexes.stubs.lookups,1715162501262000000,1715162561268000000,444.0
IndexesFlusher.totalFlushesRetried,1715162501262000000,1715162561268000000,0
Indexes.stubs.lookupDurationMaxMs,1715162501262000000,1715162561268000000,58.0
Indexes.entries.lookupDurationAvgMs,1715162501262000000,1715162561268000000,3.0
Indexes.allKeys.lookups,1715162501262000000,1715162561268000000,0.0
IndexesFlusher.totalFlushes,1715162501262000000,1715162561268000000,59
